entity	taxon_common_name
Q140141	Donkey Fish
Q140141	High-hat
Q140331	Cord Moss
Q140331	funaria moss
Q141158	Galapagos croaker
Q141374	Giant Lanternshark
Q141602	Giant Gippsland earthworm
Q141602	Giant Gippsland Earthworm
Q142352	Chinese lantern
Q143229	Fence Aloe
Q144035	Great Pondhawk
Q212552	Conger
Q928985	Cola
Q1135236	durian
Q1233427	devil's-tongue
Q1355191	Comber
Q1390966	Durian
Q1497325	Donkey Fish
Q1498026	Conger
Q1635836	devil's-tongue
Q1860270	Conger
Q2212100	Conger
Q2215217	Conger
Q2253527	funaria moss
Q2544907	Cubbyu
Q2696873	Donkey Fish
Q2783142	Conger
Q7213683	ginseng
Q10888482	ginseng
Q15362172	cola
Q15362189	cola
Q17200575	funaria moss
Q17200731	funaria moss
Q17201252	funaria moss
Q17466126	funaria moss
Q20783006	Hooded Grosbeak
Q20908383	Common Impala
Q113989	Slaty-backed Goshawk
Q114521	Semi-collared Hawk
Q114521	Semi-collared Sparrowhawk
Q114521	Semicollared Hawk
Q120264	Rio de Janeiro Antwren
Q122250	Scrub-bird
Q122422	Scaled Reptiles
Q123110	Sieber's crocus
Q125134	Palm Warbler
Q125813	rabbitfoot clover
Q127256	Phacopsis lichens
Q130999	Purple Bacteria & relatives
Q131542	silvergrass
Q132826	palmetto
Q132973	Pitcher plant
Q133426	San Pedro Cactus
Q133688	Sac-winged bats
Q133707	Ragfish
Q133763	Pantanal Cat
Q134089	Rocket Frogs
Q134369	Scrubwrens
Q134420	Pitcher plant
Q134926	Queen of the Andes
Q134926	Queen of the Puna
Q134968	Pigfaces
Q134992	Silver barbel
Q134992	Silver catfish
Q135031	Rocket Frogs
Q135241	Royal Moths
Q135378	Sardina Ciega
Q135458	Red stingray
Q135458	Red Stingray
Q135589	Rock Wren
Q136393	Silkmoths
Q137628	Roughtail stingray
Q137628	Roughtail Stingray
Q137676	Rio Mutum Snouted Treefrog
Q138817	Pitcher plant
Q139220	riffle beetles
Q139559	Pitcher plant
Q139620	Redfin tiger loach
Q140141	Ribbonfish
Q140782	powdery strap airplant
Q140953	Pitcher plant
Q140970	pitcairnia
Q141725	palm
Q142643	Pangusia labeo
Q142936	Pitcher plant
Q144311	Pitcher plant
Q146125	Pitcher plant
Q146135	Pitcher plant
Q148744	Pitcher plant
Q150486	Pitcher plant
Q150501	Pitcher plant
Q150541	Pitcher plant
Q150548	Pitcher plant
Q161174	Pitcher plant
Q293212	Pitcher plant
Q310390	Ribbonfish
Q746088	Pitcher plant
Q935880	Rock Wren
Q1091738	Pitcher plant
Q1092138	Pitcher plant
Q1106815	Pitcher plant
Q1497325	Ribbonfish
Q1529720	Ribbonfish
Q3016829	Pitcher plant
Q4246948	Pitcher plant
Q4247238	Pitcher plant
Q4247254	Pitcher plant
Q4247992	Pitcher plant
Q4911433	Pitcher plant
Q4911481	Pitcher plant
Q4911609	Pitcher plant
Q4911786	Pitcher plant
Q4911864	Pitcher plant
Q4912159	Pitcher plant
Q4912207	Pitcher plant
Q4912319	Pitcher plant
Q4924691	Pitcher plant
Q5231298	Pitcher plant
Q5460388	Pitcher plant
Q5460392	Pitcher plant
Q5460398	Pitcher plant
Q5460412	Pitcher plant
Q5460416	Pitcher plant
Q5460419	Pitcher plant
Q5474317	Pitcher plant
Q5474333	Pitcher plant
